PID1,PID2,PID3,TRIANGLE,SURFACE,PIT,TOPO
56,28,3105,474,1,1,1
57,3161,3105,475,1,1,1
57,3162,3161,476,1,1,1
57,3106,3162,477,1,1,1
57,3105,3106,478,1,1,1
58,3162,3106,479,1,1,1
58,3163,3162,480,1,1,1
58,3107,3163,481,1,1,1
58,3106,3107,482,1,1,1
3107,3164,3163,483,1,1,1
3107,3108,3164,484,1,1,1
59,3164,3108,485,1,1,1
59,3165,3164,486,1,1,1
59,3109,3165,487,1,1,1
59,3108,3109,488,1,1,1
60,3165,3109,489,1,1,1
60,3166,3165,490,1,1,1
60,3110,3166,491,1,1,1
60,3109,3110,492,1,1,1
3110,3167,3166,493,1,1,1
3110,61,3167,494,1,1,1
32,3167,61,495,1,1,1
32,3221,3167,496,1,1,1
3111,3221,32,497,1,1,1
3111,62,3221,498,1,1,1
3053,97,62,499,1,1,1
2947,97,3053,500,1,1,1
2947,98,97,501,1,1,1
3054,98,2947,502,1,1,1
3054,3112,98,503,1,1,1
3112,63,139,504,1,1,1
3168,63,3056,505,1,1,1
64,3170,3169,506,1,1,1
3170,34,65,507,1,1,1
3170,64,34,508,1,1,1
65,35,66,509,1,1,1
65,34,35,510,1,1,1
66,3113,3171,511,1,1,1
66,35,3113,512,1,1,1
67,3171,3113,513,1,1,1
67,3172,3171,514,1,1,1
67,3114,3172,515,1,1,1
67,3113,3114,516,1,1,1
68,3172,3114,517,1,1,1
68,3173,3172,518,1,1,1
68,3115,3173,519,1,1,1
68,3114,3115,520,1,1,1
3116,3173,3115,521,1,1,1
3116,3174,3173,522,1,1,1
3117,3174,3116,523,1,1,1
3117,3175,3174,524,1,1,1
3175,3118,105,525,1,1,1
3175,3117,3118,526,1,1,1
3118,3228,105,527,1,1,1
3118,3119,3228,528,1,1,1
3228,3120,106,529,1,1,1
3228,3119,3120,530,1,1,1
3065,106,3120,531,1,1,1
3065,3121,106,532,1,1,1
107,3176,3121,533,1,1,1
3121,3066,107,534,1,1,1
3177,107,3066,535,1,1,1
108,3069,109,536,1,1,1
108,3177,3069,537,1,1,1
109,3070,110,538,1,1,1
109,3069,3070,539,1,1,1
69,3178,110,540,1,1,1
3123,3179,3122,541,1,1,1
3180,3179,3123,542,1,1,1
3180,3123,3073,543,1,1,1
3073,3124,3180,544,1,1,1
3125,3238,3313,545,1,1,1
3125,3126,3238,546,1,1,1
3127,111,3126,547,1,1,1
3127,39,111,548,1,1,1
39,112,111,549,1,1,1
39,3181,112,550,1,1,1
40,3239,70,551,1,1,1
40,71,3239,552,1,1,1
17,200,71,553,1,1,1
17,114,200,554,1,1,1
17,3129,114,555,1,1,1
3182,114,3129,556,1,1,1
3182,3129,3130,557,1,1,1
72,3182,3130,558,1,1,1
72,3130,3131,559,1,1,1
3131,3183,72,560,1,1,1
3131,3132,3183,561,1,1,1
3242,3183,3132,562,1,1,1
3133,3185,3184,563,1,1,1
73,3185,3133,564,1,1,1
73,3186,3185,565,1,1,1
73,3134,3186,566,1,1,1
73,3133,3134,567,1,1,1
74,3186,3134,568,1,1,1
74,3187,3186,569,1,1,1
75,3187,74,570,1,1,1
75,3188,3187,571,1,1,1
3188,3135,3189,572,1,1,1
3188,75,3135,573,1,1,1
3189,3136,3190,574,1,1,1
3189,3135,3136,575,1,1,1
3190,3137,3191,576,1,1,1
3190,3136,3137,577,1,1,1
76,3191,3137,578,1,1,1
76,3192,3191,579,1,1,1
76,3138,3192,580,1,1,1
76,3137,3138,581,1,1,1
77,3192,3138,582,1,1,1
77,3193,3192,583,1,1,1
77,3139,3193,584,1,1,1
77,3138,3139,585,1,1,1
78,3193,3139,586,1,1,1
78,3194,3193,587,1,1,1
78,3140,3194,588,1,1,1
78,3139,3140,589,1,1,1
79,3194,3140,590,1,1,1
79,3195,3194,591,1,1,1
79,3141,3195,592,1,1,1
79,3140,3141,593,1,1,1
80,3195,3141,594,1,1,1
80,3196,3195,595,1,1,1
80,3142,3196,596,1,1,1
80,3141,3142,597,1,1,1
81,3196,3142,598,1,1,1
81,3197,3196,599,1,1,1
81,3143,3197,600,1,1,1
81,3142,3143,601,1,1,1
82,3197,3143,602,1,1,1
82,3198,3197,603,1,1,1
82,3144,3198,604,1,1,1
82,3143,3144,605,1,1,1
83,3198,3144,606,1,1,1
83,3199,3198,607,1,1,1
83,3145,3199,608,1,1,1
83,3144,3145,609,1,1,1
